cm-1,mV,cm-1,mV,cm-1,mV,cm-1,mV,cm-1,mV
1600,0.014012297,1600,0.084260769,1600,0.107652925,1600,0.107574955,1600,0.016715225
1598,0.013951588,1598,0.084465198,1598,0.105877109,1598,0.106392756,1598,0.016570674
1596,0.013585158,1596,0.083676226,1596,0.104724072,1596,0.102666877,1596,0.016571499
1594,0.013433076,1594,0.083670519,1594,0.103841186,1594,0.102018684,1594,0.016401483
1592,0.01381409,1592,0.0840372,1592,0.102867246,1592,0.100279562,1592,0.016366357
1590,0.013127311,1590,0.081851795,1590,0.099118687,1590,0.097637862,1590,0.015819537
1588,0.013059099,1588,0.082215153,1588,0.099150285,1588,0.097803943,1588,0.016093155
1586,0.013342076,1586,0.083242089,1586,0.099399216,1586,0.098613419,1586,0.015927874
1584,0.013322513,1584,0.080130503,1584,0.096202932,1584,0.096251361,1584,0.015852181
1582,0.013509763,1582,0.080566682,1582,0.097133443,1582,0.098121867,1582,0.016217589
1580,0.01391535,1580,0.082173765,1580,0.097301722,1580,0.098373301,1580,0.016350001
1578,0.013635792,1578,0.080427118,1578,0.096588984,1578,0.097503498,1578,0.016301347
1576,0.014098958,1576,0.082945868,1576,0.099362589,1576,0.099845439,1576,0.01666514
1574,0.013513445,1574,0.081396587,1574,0.096400969,1574,0.097866952,1574,0.016495425
1572,0.013932176,1572,0.081892721,1572,0.097331569,1572,0.098800004,1572,0.01647066
1570,0.014387982,1570,0.082167193,1570,0.097826451,1570,0.099572495,1570,0.016879383
1568,0.013340134,1568,0.076164849,1568,0.090876423,1568,0.091794178,1568,0.015497966
1566,0.013260988,1566,0.076699294,1566,0.090925783,1566,0.091642991,1566,0.015783584
1564,0.012848387,1564,0.07590311,1564,0.089276284,1564,0.090767913,1564,0.015616388
1562,0.013190677,1562,0.077254131,1562,0.090433992,1562,0.092669509,1562,0.015717404
1560,0.014351384,1560,0.082569525,1560,0.09658815,1560,0.098829731,1560,0.017266959
1558,0.014109437,1558,0.08161886,1558,0.094453461,1558,0.096223347,1558,0.016518584
1556,0.013090404,1556,0.077602439,1556,0.089352854,1556,0.091212802,1556,0.016003788
1554,0.014321362,1554,0.080888815,1554,0.091088191,1554,0.093615286,1554,0.017119324
1552,0.013779184,1552,0.076261595,1552,0.086870611,1552,0.090598755,1552,0.016223168
1550,0.014061118,1550,0.077093065,1550,0.08785025,1550,0.092352629,1550,0.016722459
1548,0.014044029,1548,0.073061898,1548,0.083067089,1548,0.087933734,1548,0.016641149
1546,0.013939542,1546,0.074983165,1546,0.084687345,1546,0.089943729,1546,0.016840521
1544,0.013916097,1544,0.07443399,1544,0.082141347,1544,0.087342173,1544,0.016574435
1542,0.014435749,1542,0.074865304,1542,0.083938375,1542,0.089796685,1542,0.016797222
1540,0.014763132,1540,0.076004304,1540,0.083061591,1540,0.090513565,1540,0.017043998
1538,0.013533155,1538,0.070134982,1538,0.075896919,1538,0.083245732,1538,0.015514198
1536,0.014081129,1536,0.070718557,1536,0.075272702,1536,0.083725408,1536,0.01633703
1534,0.014323412,1534,0.071625642,1534,0.075910769,1534,0.085214116,1534,0.016174614
1532,0.013778262,1532,0.06822329,1532,0.071012884,1532,0.080439217,1532,0.016063133
1530,0.013538013,1530,0.066596664,1530,0.069969468,1530,0.079608701,1530,0.016107595
1528,0.014223465,1528,0.066920981,1528,0.071012199,1528,0.080614403,1528,0.016833767
1526,0.013880444,1526,0.06742397,1526,0.070487775,1526,0.079550453,1526,0.016506085
1524,0.013888342,1524,0.066868484,1524,0.068729632,1524,0.078390688,1524,0.016179977
1522,0.014422205,1522,0.069354966,1522,0.072778895,1522,0.082974195,1522,0.017145898
1520,0.013459167,1520,0.065546498,1520,0.067595147,1520,0.077130809,1520,0.015649851
1518,0.013750889,1518,0.06590794,1518,0.069503382,1518,0.078650922,1518,0.016570758
1516,0.013725656,1516,0.06542179,1516,0.068468653,1516,0.077969179,1516,0.016413238
1514,0.013966205,1514,0.064887553,1514,0.067699835,1514,0.078109294,1514,0.016273452
1512,0.014282305,1512,0.063838601,1512,0.067177683,1512,0.076844178,1512,0.016201664
1510,0.014119598,1510,0.062847383,1510,0.06637039,1510,0.074792825,1510,0.016010491
1508,0.014543164,1508,0.065653466,1508,0.070389748,1508,0.079474069,1508,0.016720949
1506,0.014540412,1506,0.065383382,1506,0.069299348,1506,0.079295427,1506,0.016243245
1504,0.013358166,1504,0.063528419,1504,0.068337552,1504,0.077348307,1504,0.015652193
1502,0.012942334,1502,0.064029992,1502,0.069681197,1502,0.078303456,1502,0.016488113
1500,0.012426052,1500,0.062539592,1500,0.069086462,1500,0.077397346,1500,0.016284723
1498,0.012571716,1498,0.06298288,1498,0.067807861,1498,0.077816732,1498,0.016274381
1496,0.012933234,1496,0.067177415,1496,0.071228065,1496,0.080826931,1496,0.016441872
1494,0.012619838,1494,0.067041755,1494,0.071386926,1494,0.081659861,1494,0.016376635
1492,0.012869504,1492,0.065347873,1492,0.070483454,1492,0.080183685,1492,0.016543932
1490,0.012317975,1490,0.065874629,1490,0.072170779,1490,0.082144387,1490,0.01616806
1488,0.012738282,1488,0.06730777,1488,0.074144319,1488,0.085111871,1488,0.016135525
1486,0.012564454,1486,0.067035012,1486,0.074178234,1486,0.085297376,1486,0.015987517
1484,0.012790196,1484,0.06799192,1484,0.076597251,1484,0.088421427,1484,0.016582953
1482,0.013887167,1482,0.073242292,1482,0.081741616,1482,0.094652079,1482,0.017732108
1480,0.013627935,1480,0.071761928,1480,0.084895775,1480,0.096558802,1480,0.017394815
1478,0.013342547,1478,0.071837209,1478,0.08402396,1478,0.096477874,1478,0.017074509
1476,0.013465781,1476,0.075459227,1476,0.089704245,1476,0.101111665,1476,0.017128164
1474,0.013468528,1474,0.07897418,1474,0.094866559,1474,0.107340574,1474,0.017024599
1472,0.01339941,1472,0.084489226,1472,0.099827848,1472,0.113847576,1472,0.017129552
1470,0.014049399,1470,0.089767985,1470,0.109979071,1470,0.121682912,1470,0.018075101
1468,0.014527038,1468,0.09794917,1468,0.120226733,1468,0.130925372,1468,0.019127645
1466,0.014949971,1466,0.103405729,1466,0.125868559,1466,0.139428735,1466,0.019562589
1464,0.015793925,1464,0.109180734,1464,0.133264109,1464,0.148129687,1464,0.019787028
1462,0.014944531,1462,0.109387822,1462,0.132083431,1462,0.145433113,1462,0.019522361
1460,0.014797579,1460,0.109693833,1460,0.13460806,1460,0.147060782,1460,0.019637773
1458,0.015430525,1458,0.112329394,1458,0.137941167,1458,0.151757121,1458,0.020037025
1456,0.015157707,1456,0.115315355,1456,0.139028475,1456,0.153368205,1456,0.020021085
1454,0.014340734,1454,0.106165253,1454,0.131170571,1454,0.142272279,1454,0.018596025
1452,0.014065976,1452,0.1042291,1452,0.128138483,1452,0.13829799,1452,0.018683178
1450,0.014668294,1450,0.1057164,1450,0.129811883,1450,0.138741076,1450,0.019074297
1448,0.015433916,1448,0.112034388,1448,0.13696903,1448,0.146415383,1448,0.019917788
1446,0.015540239,1446,0.111947529,1446,0.13601324,1446,0.145676896,1446,0.019715648
1444,0.015538179,1444,0.110515356,1444,0.135029957,1444,0.14576377,1444,0.020034526
1442,0.015268027,1442,0.10783045,1442,0.132246926,1442,0.140190512,1442,0.01993414
1440,0.014682548,1440,0.106064871,1440,0.130597353,1440,0.139031559,1440,0.019351857
1438,0.015080463,1438,0.105057284,1438,0.129710451,1438,0.138443008,1438,0.019688543
1436,0.014786805,1436,0.10616532,1436,0.129646361,1436,0.139864489,1436,0.019494006
1434,0.01421896,1434,0.100022167,1434,0.122083351,1434,0.130889788,1434,0.018644093
1432,0.012705318,1432,0.085263759,1432,0.079052374,1432,0.10664665,1432,0.016352618
1430,0.010603121,1430,0.08282546,1430,0.084624559,1430,0.09730348,1430,0.013771992
1428,0.010523998,1428,0.083214559,1428,0.085831054,1428,0.096504562,1428,0.013979884
1426,0.010820498,1426,0.085498922,1426,0.088676721,1426,0.099391446,1426,0.014442932
1424,0.010453429,1424,0.08638902,1424,0.088319384,1424,0.098741531,1424,0.013775748
1422,0.01075386,1422,0.088576108,1422,0.092579767,1422,0.102342993,1422,0.014750647
1420,0.010796128,1420,0.087842703,1420,0.092136346,1420,0.101920806,1420,0.014773744
1418,0.011077262,1418,0.090704113,1418,0.094143182,1418,0.104554981,1418,0.014487772
1416,0.0104925,1416,0.089800715,1416,0.093937621,1416,0.102560587,1416,0.014520146
1414,0.011141089,1414,0.089882344,1414,0.094918445,1414,0.103588313,1414,0.014648724
1412,0.010818606,1412,0.089588962,1412,0.095076472,1412,0.104190819,1412,0.014596227
1410,0.011440574,1410,0.092689194,1410,0.098947637,1410,0.108898938,1410,0.015267637
1408,0.011410788,1408,0.09050402,1408,0.097954832,1408,0.10621088,1408,0.014848315
1406,0.011802761,1406,0.091535144,1406,0.098374829,1406,0.106844224,1406,0.014880418
1404,0.012175323,1404,0.099860609,1404,0.106661245,1404,0.116503455,1404,0.016160276
1402,0.011715031,1402,0.096783631,1402,0.103053771,1402,0.113227524,1402,0.015902145
1400,0.012042057,1400,0.096000344,1400,0.101328716,1400,0.112282082,1400,0.015702637
1398,0.011399048,1398,0.093090162,1398,0.098423854,1398,0.109474495,1398,0.015089924
1396,0.011517291,1396,0.091397651,1396,0.096375465,1396,0.108637258,1396,0.01482306
1394,0.011820181,1394,0.093614094,1394,0.100127809,1394,0.112784363,1394,0.01564914
1392,0.011522851,1392,0.089585736,1392,0.095675126,1392,0.107534327,1392,0.014653778
1390,0.011828904,1390,0.092469737,1390,0.100292906,1390,0.112514488,1390,0.015352368
1388,0.012011126,1388,0.094961144,1388,0.104844034,1388,0.115982257,1388,0.015907951
1386,0.012674908,1386,0.098326832,1386,0.108621165,1386,0.121889718,1386,0.016446069
1384,0.012879983,1384,0.101715237,1384,0.111600518,1384,0.124859542,1384,0.016529987
1382,0.01320742,1382,0.103350013,1382,0.112897962,1382,0.126101315,1382,0.016811436
1380,0.013026418,1380,0.103997715,1380,0.11275585,1380,0.125798255,1380,0.016587278
1378,0.012835639,1378,0.103193223,1378,0.113127202,1378,0.124105282,1378,0.016559729
1376,0.012971671,1376,0.105560027,1376,0.114363626,1376,0.127577141,1376,0.017039383
1374,0.013438202,1374,0.106681593,1374,0.117247708,1374,0.130965084,1374,0.017258767
1372,0.013721649,1372,0.109396189,1372,0.120897159,1372,0.133035094,1372,0.0179967
1370,0.013815881,1370,0.107335426,1370,0.119357504,1370,0.132197335,1370,0.017725356
1368,0.013349012,1368,0.105879582,1368,0.115521431,1368,0.129841417,1368,0.01732887
1366,0.013553894,1366,0.103404559,1366,0.115015112,1366,0.128198847,1366,0.017090049
1364,0.013742263,1364,0.105606236,1364,0.117098622,1364,0.128422678,1364,0.017994577
1362,0.014132483,1362,0.103477515,1362,0.117473185,1362,0.128655404,1362,0.018078042
1360,0.013014487,1360,0.098181456,1360,0.111354999,1360,0.121302716,1360,0.017127227
1358,0.013079124,1358,0.096382618,1358,0.108073354,1358,0.119820967,1358,0.016886769
1356,0.013147793,1356,0.098121166,1356,0.109076217,1356,0.119637623,1356,0.017136341
1354,0.013806579,1354,0.10085012,1354,0.113166742,1354,0.124622315,1354,0.017706532
1352,0.013849817,1352,0.102991544,1352,0.114854246,1352,0.128080517,1352,0.018045677
1350,0.014469371,1350,0.103825711,1350,0.116762601,1350,0.127290383,1350,0.018178763
1348,0.014473888,1348,0.102714464,1348,0.116640925,1348,0.127036572,1348,0.018200479
1346,0.014428308,1346,0.10102658,1346,0.114311323,1346,0.125394806,1346,0.01812632
1344,0.013915556,1344,0.095273815,1344,0.107560575,1344,0.119235262,1344,0.017095711
1342,0.014313204,1342,0.09932141,1342,0.111550584,1342,0.123793349,1342,0.017855505
1340,0.014679687,1340,0.100728251,1340,0.114972472,1340,0.126457229,1340,0.018292848
1338,0.014605951,1338,0.100778505,1338,0.114381365,1338,0.125507161,1338,0.017869251
1336,0.014882348,1336,0.102208264,1336,0.116324119,1336,0.126122415,1336,0.018365202
1334,0.015599783,1334,0.106327243,1334,0.120670274,1334,0.129223481,1334,0.019060686
1332,0.015643921,1332,0.105279915,1332,0.120667249,1332,0.130649611,1332,0.019046819
1330,0.015232419,1330,0.106003053,1330,0.120739579,1330,0.130840361,1330,0.018996004
1328,0.015191815,1328,0.105757006,1328,0.117546469,1328,0.127908379,1328,0.018653262
1326,0.015041793,1326,0.108734861,1326,0.121557243,1326,0.130233213,1326,0.018997943
1324,0.015486203,1324,0.109907925,1324,0.125549763,1324,0.133367881,1324,0.019700978
1322,0.016066294,1322,0.110542312,1322,0.128731027,1322,0.136106804,1322,0.019707704
1320,0.016936537,1320,0.112979941,1320,0.132976517,1320,0.141170248,1320,0.020823535
1318,0.016845953,1318,0.11533384,1318,0.135856017,1318,0.143065453,1318,0.02117897
1316,0.015674582,1316,0.111311205,1316,0.129830539,1316,0.136910453,1316,0.02009505
1314,0.015856424,1314,0.111848511,1314,0.130499512,1314,0.13911882,1314,0.020053854
1312,0.016295766,1312,0.112941444,1312,0.130502522,1312,0.139848381,1312,0.020229066
1310,0.016470097,1310,0.111372843,1310,0.131681889,1310,0.142071217,1310,0.020062789
